year,scenario,corruption_index,trust_index,grievance_index,merit_integrity,iig_effectiveness,coup_probability,ethnic_harmony,gini_coefficient,employment_rate,phd_output,knowledge_capital,brain_drain_rate,tax_compliance,shame_register_size,foreign_investors,stability_index,north_star_progress,total_ruin_events,fdi_net,inflation_rate,psych_probation_count,run_id,seed,final_year,simulation_failed
0,B,0.6556496040945118,0.22061553759898284,0.6194688193691947,0.0,0.05,0.45,0.2577133554884306,0.40564363534129133,0.5800132802124834,0,0.0,0.0,0.9,0,0,0.18,0.263,0,0.0,0.12,0,0,66,50,False
0,B,0.7219359842149305,0.21443087631928895,0.9999915937821646,0.0,0.1,0.43,0.2649420318860093,0.4021405165926223,0.589085593633263,0,0.0,0.2066,0.9987,0,0,0.48250000000000004,0.26689025501886876,0,0.0,0.11262595886167528,0,0,66,50,False
1,B,0.7786426978522472,0.30808214133815115,1.0,0.0,0.1,0.41,0.271891020882361,0.3957689545004341,0.5982755867794987,0,0.0,0.1634,0.9967,0,0,0.48275000000000007,0.2647375813050523,0,0.0,0.09849840077643375,0,0,66,50,False
2,B,0.8464097521994353,0.37273802685135665,1.0,0.0,0.1,0.38999999999999996,0.27671829312721163,0.3893522632719367,0.6062421185372006,0,0.0,0.1045,0.992,0,0,0.5045701319786625,0.2606069422807808,0,0.0,0.08120832684968628,0,0,66,50,False
3,B,0.8842977083946227,0.41709714671059855,1.0,0.0,0.1,0.36999999999999994,0.280616186652351,0.38097711362698233,0.611612702366127,0,0.0,0.0655,0.9897,0,0,0.5220192243637263,0.2529552798874912,2,0.0,0.06234277495700327,0,0,66,50,False
4,B,0.9208713850646928,0.44724853061206654,1.0,0.0,0.1,0.3499999999999999,0.2843413538990017,0.37465209280623407,0.6152542372881356,0,0.0,0.0464,0.9895,2,0,0.5364085890332709,0.24864624526487647,5,0.0,0.05626107283505498,0,0,66,50,False
5,B,0.9427155626429065,0.4757241625145876,1.0,0.0,0.12402504123556754,0.3299999999999999,0.2873220683212183,0.36668037728145797,0.6201467441149495,0,0.0,0.0326,0.9863,5,0,0.5486561443019522,0.24432016224269873,18,0.0,0.03363630621441556,0,0,66,50,False
6,B,0.9660511637514214,0.4947571048463471,1.0,0.0,0.2979919028340081,0.3099999999999999,0.2897465401279497,0.3634481301728246,0.622509505703422,0,0.0,0.0213,0.9844,33,0,0.5650756049682362,0.24276437498710782,39,0.0,0.003075440103741972,0,0,66,50,False
7,B,0.9760399339099789,0.5071801644785833,1.0,0.0,0.43174234218987984,0.28999999999999987,0.2914966586129607,0.35725408902689487,0.6254528985507246,0,0.0,0.0187,0.9745,45,0,0.6023166273446664,0.2388836325658618,77,0.0,0.0,0,0,66,50,False
8,B,0.9806434958209469,0.514976306221143,1.0,0.0,0.46479235561945836,0.26999999999999985,0.29375518594690064,0.35233734605701766,0.6283052884615384,0,0.0,0.0121,0.9689,86,0,0.6323563884437121,0.23887434324546788,109,0.0,0.0,0,0,66,50,False
