index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
0,0,A,mfu_v7,0.72,0.22,0.6,0.3,0.25,0.0,0.55,0.35,0.18,0.58,0.35,0.35,1.0,0,0.75,0,65,50,False,25,0,0.35,1.0
1,0,A,mfu_v7,0.2104118147886605,0.319,0.55,0.0,0.23,0.0,0.011798071836600707,0.35,0.61515,0.4474,0.0013684210526315789,0.35,1.0,0,0.755,0,65,50,False,25,0,0.35,1.0
2,1,A,mfu_v7,0.24740783969634855,0.38127661177982974,0.55,0.0,0.21000000000000002,0.0,0.024287901352690648,0.35,0.6387327811908383,0.47,0.0022105263157894735,0.35,1.0,1,0.76,0,65,50,False,25,0,0.35,1.0
3,2,A,mfu_v7,0.2910116828604894,0.42523240636126225,0.55,0.0,0.19000000000000003,0.0,0.04821548103399331,0.35,0.6603346090956707,0.4637,0.003263157894736842,0.35,1.0,1,0.765,0,65,50,False,25,0,0.35,1.0
4,3,A,mfu_v7,0.34117826954643815,0.4595277669084903,0.55,0.0,0.17000000000000004,0.0,0.06068428350516347,0.35,0.6804537678913356,0.4609,0.004210526315789474,0.35,1.0,1,0.77,0,65,50,False,25,0,0.35,1.0
5,4,A,mfu_v7,0.3947226289520283,0.48380086613553325,0.55,0.0,0.15000000000000005,0.0,0.08141875110687402,0.35,0.6951091607271906,0.4678,0.004842105263157895,0.35,1.0,1,0.7395511093354367,0,65,50,False,25,0,0.35,1.0
6,5,A,mfu_v7,0.41440719783610835,0.5057681904348356,0.55,0.0,0.13000000000000006,0.0,0.09327041416228267,0.35,0.7117834171361697,0.4725,0.006,0.35,1.0,2,0.7324618897666894,0,65,50,False,25,0,0.35,1.0
7,6,A,mfu_v7,0.44676225786623824,0.5074314755680491,0.55,0.0,0.11000000000000006,0.0,0.10350240325042682,0.35,0.7101372618070156,0.4954,0.007789473684210527,0.35,1.0,2,0.725372670197942,0,65,50,False,25,0,0.35,1.0
8,7,A,mfu_v7,0.4662696339637808,0.514292037706039,0.55,0.0,0.09000000000000005,0.0,0.1206004746339033,0.35,0.7219562160821564,0.5099,0.009263157894736843,0.35,1.0,2,0.7537323412937581,0,65,50,False,25,0,0.35,1.0
9,8,A,mfu_v7,0.48753574936776206,0.5148223140079454,0.55,0.0,0.07000000000000005,0.0,0.13049447185272914,0.35,0.7255785424710117,0.5172,0.01063157894736842,0.35,1.0,2,0.7820920123895742,0,65,50,False,25,0,0.35,1.0
10,9,A,mfu_v7,0.49814529025395204,0.5082475259209867,0.55,0.16666666666666666,0.050000000000000044,0.0,0.1334728161355168,0.35,0.7251097777416002,0.5146,0.012,0.35,1.0,2,0.8104516834853902,0,65,50,False,25,0,0.35,1.0
11,10,A,mfu_v7,0.5147819470163683,0.5130264082978682,0.55,0.2,0.030000000000000044,0.0,0.14019102230226207,0.35,0.7384111269961604,0.5245,0.012526315789473684,0.35,1.0,0,0.8388113545812063,0,65,50,False,25,0,0.35,1.0
12,11,A,mfu_v7,0.5296263380073086,0.5377473141341172,0.55,0.17391304347826086,0.010000000000000044,0.0,0.14181772241970914,0.35,0.7658888569423066,0.5301,0.01336842105263158,0.35,1.0,0,0.8438113545812063,0,65,50,False,25,0,0.35,1.0
13,12,A,mfu_v7,0.5496795846455852,0.5334751822115849,0.55,0.1875,0.0,0.0,0.14506716427486396,0.35,0.7574475511646763,0.5375,0.014105263157894737,0.35,1.0,1,0.8659969259657277,0,65,50,False,25,0,0.35,1.0
14,13,A,mfu_v7,0.56356476620488,0.5311859667276492,0.55,0.23076923076923078,0.0,0.0,0.1470092373775896,0.35,0.7600670918624011,0.5517,0.014736842105263158,0.35,1.0,2,0.8715158297630218,0,65,50,False,25,0,0.35,1.0
15,14,A,mfu_v7,0.5727526621851183,0.5493398766172155,0.55,0.2608695652173913,0.0,0.0,0.15116844729968126,0.35,0.7782747767607421,0.5541,0.015368421052631578,0.35,1.0,2,0.9048524747551614,0,65,50,False,25,0,0.35,1.0
16,15,A,mfu_v7,0.5824655705290509,0.5444314598892317,0.55,0.25925925925925924,0.0,0.0,0.1558444535261597,0.35,0.7659871387155395,0.5587,0.015789473684210527,0.35,1.0,2,0.9548557873345285,0,65,50,False,25,0,0.35,1.0
17,16,A,mfu_v7,0.5875419464549555,0.5604727022102964,0.55,0.3559322033898305,0.0,0.0,0.1566332426484744,0.35,0.7832878539463042,0.5693,0.01663157894736842,0.35,1.0,2,1.0,0,65,50,False,25,0,0.35,1.0
18,17,A,mfu_v7,0.5906514028489387,0.5587790880260195,0.55,0.5245901639344263,0.0,0.0,0.15843054620594388,0.35,0.7749415986963939,0.5685,0.01694736842105263,0.35,1.0,0,1.0,0,65,50,False,25,0,0.35,1.0
19,18,A,mfu_v7,0.5748050860478656,0.5696458661684103,0.55,0.6190476190476191,0.0,0.0,0.1585969725098269,0.35,0.7859763558890616,0.5773,0.017157894736842105,0.35,1.0,2,0.979964298556066,0,65,50,False,25,0,0.35,1.0
20,19,A,mfu_v7,0.556387829610342,0.5911112263635102,0.55,0.6984126984126984,0.0,0.0,0.16083711622030541,0.35,0.8018044012546024,0.5879,0.01831578947368421,0.35,1.0,3,0.9316505358053976,0,65,50,False,25,0,0.35,1.0
21,20,A,mfu_v7,0.5358437760695001,0.593767950893495,0.55,0.8,0.0,0.0,0.16479692418763817,0.35,0.7953128382761459,0.5876,0.018631578947368423,0.35,1.0,3,0.9078210522362969,0,65,50,False,25,0,0.35,1.0
22,21,A,mfu_v7,0.5124056236455337,0.6193516063913541,0.55,0.8769230769230769,0.0,0.0,0.1642887036723372,0.35,0.8185014866965183,0.5824,0.01936842105263158,0.35,1.0,1,0.9040272701111303,0,65,50,False,25,0,0.35,1.0
23,22,A,mfu_v7,0.48721765116036614,0.6381936899144103,0.55,0.8939393939393939,0.0,0.0,0.167700022766789,0.35,0.825656330734321,0.5625,0.02031578947368421,0.35,1.0,1,0.9335115492926981,0,65,50,False,25,0,0.35,1.0
24,23,A,mfu_v7,0.46095693828497986,0.6462870916785334,0.55,0.9242424242424242,0.0,0.0,0.16683474101114473,0.35,0.8254313873305543,0.5621,0.020842105263157894,0.35,1.0,1,0.9384452642020983,0,65,50,False,25,0,0.35,1.0
25,24,A,mfu_v7,0.4333146429940376,0.6452090328212099,0.55,0.9393939393939394,0.0,0.0,0.16560325779904547,0.35,0.8210080026751654,0.5548,0.021368421052631578,0.35,1.0,1,0.9188946999299307,0,65,50,False,25,0,0.35,1.0
26,25,A,mfu_v7,0.4051225749273129,0.6519717976894532,0.55,0.9848484848484849,0.0,0.0,0.16608904682204267,0.35,0.8278854140200724,0.5352,0.021789473684210525,0.35,1.0,1,0.899344135657763,0,65,50,False,25,0,0.35,1.0
27,26,A,mfu_v7,0.3765830674428735,0.6686416431534012,0.55,1.0,0.0,0.0,0.16682460966024562,0.35,0.8408814059661607,0.5319,0.021894736842105262,0.35,1.0,1,0.9043441356577631,0,65,50,False,25,0,0.35,1.0
28,27,A,mfu_v7,0.3487858533867197,0.6717786890048363,0.55,1.0,0.0,0.0,0.1668076493167748,0.35,0.8368602644301659,0.5333,0.022421052631578946,0.35,1.0,1,0.9093441356577631,0,65,50,False,25,0,0.35,1.0
29,28,A,mfu_v7,0.3225066886720818,0.6802871530425871,0.55,1.0,0.0,0.0,0.16788694271601937,0.35,0.8436257460084264,0.5267,0.022842105263157896,0.35,1.0,0,0.9143441356577631,0,65,50,False,25,0,0.35,1.0
30,29,A,mfu_v7,0.297269419994017,0.6710317568079996,0.55,1.0,0.0,0.0,0.16794109538840013,0.35,0.831259564689713,0.512,0.023473684210526317,0.35,1.0,1,0.9193441356577631,0,65,50,False,25,0,0.35,1.0
31,30,A,mfu_v7,0.27470370246437886,0.6720073417220644,0.55,1.0,0.0,0.0,0.16836236555643172,0.35,0.8360736367766013,0.5082,0.02368421052631579,0.35,1.0,1,0.9243441356577631,0,65,50,False,25,0,0.35,1.0
32,31,A,mfu_v7,0.25156579329461215,0.6825784864530214,0.55,1.0,0.0,0.0,0.16835890422485975,0.35,0.8457064786071031,0.5082,0.02368421052631579,0.35,1.0,2,0.9073396140054985,0,65,50,False,25,0,0.35,1.0
33,32,A,mfu_v7,0.22867105645250688,0.7103153996739858,0.55,1.0,0.0,0.0,0.16842859066356325,0.35,0.8486166653800173,0.5041,0.023789473684210527,0.35,1.0,1,0.8903350923532338,0,65,50,False,25,0,0.35,1.0
